period,Barley,Maize,Sorghum,"Rice, Thai 5% ",Wheat
2010-01-01,146.53767234932,167.314,161.79485718,568.8,201.190932023684
2010-02-01,137.375991075342,161.80248,154.05664098,535.0,194.0
2010-03-01,146.982472568512,159.04672,154.70259464,502.2,191.075071754348
2010-04-01,151.70521637143,157.07832,149.4070974,466.0,192.87
2010-05-01,143.035903359322,163.3772,147.3457777,451.333333333333,181.605588975
2010-06-01,145.932668689496,152.74784,130.97867882,440.0,157.672098470455
2010-07-01,156.361964892694,163.75682,132.40286334,441.8,195.817690591286
2010-08-01,161.232692144927,175.58128,143.39509866,452.75,246.247224455864
2010-09-01,168.11980413513,205.89464,184.904628857143,476.5,271.673597547429
2010-10-01,174.624226348364,235.81432,201.0392978,486.0,270.232195864286
2010-11-01,179.090468337281,238.1764,203.24832704,514.5,274.080760795588
2010-12-01,189.640901205311,250.38048,221.57092386,532.0,306.5201043804
2011-01-01,195.201857838713,264.94664,246.31778336,516.8,326.556567607286
2011-02-01,196.45768564745,292.89792,253.15210536,524.0,348.1203485495
2011-03-01,202.574431634023,290.53584,266.1417264,492.75,316.746570663783
2011-04-01,208.921359910916,319.27448,289.6099063,484.25,336.12429558105
2011-05-01,209.369107649673,307.85776,261.31581322,481.4,355.277885563636
2011-06-01,210.064293814639,310.61352,260.4317606,513.75,326.429929196591
2011-07-01,215.532130931321,300.77152,271.16826,538.25,303.88392977625
2011-08-01,206.093694215631,310.21984,302.526583173913,566.0,327.066589526087
2011-09-01,209.573572840582,295.26,288.80522,598.75,315.916229076136
2011-10-01,208.846052025218,274.78864,263.672552,599.4,289.010835782143
2011-11-01,211.455471276795,274.39496,265.436248,615.25,281.0064022425
2011-12-01,212.273366677087,258.64776,256.397306,585.75,269.0300071375
2012-01-01,210.558176566191,272.844845,265.65671,542.0,274.89317414625
2012-02-01,213.400872661618,279.458669,269.184102,537.5,277.7729592825
2012-03-01,222.788586489009,280.69384,274.034266,548.0,283.878254086364
2012-04-01,237.172063044463,274.00128,254.854072,547.75,266.323921792105
2012-05-01,239.458475666667,269.27712,259.353895394556,600.5,264.358724018478
2012-06-01,236.757816166667,267.30872,263.933169787965,600.0,276.1899195
2012-07-01,253.379732375,333.05328,268.593298004442,573.75,345.687946757143
2012-08-01,265.693453666667,331.992055652174,273.335707637125,567.75,349.400350682609
2012-09-01,256.236552458333,320.8492,278.16185148541,563.25,353.420923772368
2012-10-01,252.911250625,321.24288,283.073208,558.25,358.195666995
2012-11-01,252.066146291667,321.63656,289.025682,559.25,360.8228394
2012-12-01,242.944531041667,308.64512,283.955056,557.8,347.9625549
2013-01-01,233.322283333333,303.1336,291.00984,564.2,335.4697071
2013-02-01,236.99665,302.73992,288.143834,563.0,318.9350556
2013-03-01,239.752425,309.0388,296.741852,559.0,309.7491381
2013-04-01,229.647916666667,279.90648,269.184102,557.0,308.2793913
2013-05-01,231.4851,295.5375444,273.593342,543.5,319.669929
2013-06-01,229.647916666667,298.40944,236.776188,524.25,313.4235051
2013-07-01,214.031858333333,279.5128,220.021076,509.0,304.6050243
2013-08-01,185.096220833333,238.735604545455,220.61582235,478.75,305.3398977
2013-09-01,159.83495,207.405387,216.934608,444.0,307.50777423
2013-10-01,155.7012875,201.725210909091,205.24731612,439.0,325.6867049625
2013-11-01,158.916358333333,199.13474,195.230820295789,438.0,306.751628178947
2013-12-01,161.672133333333,197.391152,205.896296122,451.0,291.556647203571
2014-01-01,167.642979166667,198.0643448,210.210517,450.0,275.577525
2014-02-01,169.939458333333,209.3235928,221.123386,459.0,292.1121765
2014-03-01,177.7474875,222.33078,234.351106,422.0,323.7117327
2014-04-01,181.421854166667,222.3583376,232.366948,395.0,324.8140428
2014-05-01,181.88115,217.2956128,220.682462,388.0,334.7348337
2014-06-01,160.294245833333,202.3948248,204.698967,397.0,306.4422078
2014-07-01,138.707341666667,182.726572,193.014481,422.0,280.3542021
2014-08-01,118.498325,176.4237552,191.361016,445.0,263.4521139
2014-09-01,105.638041666667,163.0583192,180.558378,432.0,243.6105321
2014-10-01,112.068183333333,163.121308,195.219101,428.0,245.4477156
2014-11-01,113.905366666667,178.7425304,213.84814,418.0,258.6754368
2014-12-01,123.091283333333,178.7346568,227.296322,418.0,269.6985378
2015-01-01,128.1435375,174.7073104,215.060681,420.0,248.3872092
2015-02-01,125.3877625,173.6955528,217.706225,420.0,236.9966715
2015-03-01,126.306354166667,174.2270208,227.737246,410.0,230.7502476
2015-04-01,129.062129166667,172.0539072,224.209854,399.0,223.4015136
2015-05-01,126.76565,166.2943688,217.375532,381.0,215.3179062
2015-06-01,118.957620833333,166.7195432,221.123386,376.0,209.8063557
2015-07-01,124.009875,179.596816,222.887082,392.0,197.3135079
