iso_code,country_name,phase_1,phase_2,phase_3,phase_4,phase_5,phase_3plus,from_date,to_date,source
AFG,Afghanistan,8076291,14730490,12944658,5975864,0,18920522,Jun 2022,Nov 2022,IPC
AGO,Angola,482825,683303,1167337,416660,0,1583997,Oct 2021,Mar 2022,IPC
BDI,Burundi,6981059,3660306,1353231,50637,0,1403868,Oct 2022,Dec 2022,IPC
BEN,Benin,9766619,2318231,806329,23821,0,830150,Jun 2022,Aug 2022,CH
BFA,Burkina Faso,12468940,5331444,2825046,628464,0,3453510,Jun 2022,Aug 2022,CH
CAF,Central African Republic,1226085,1511692,1570882,638021,0,2208903,Apr 2022,Aug 2022,IPC
CIV,Cote d'Ivoire,12294031,3103718,662002,0,0,662002,Jun 2022,Aug 2022,CH
CMR,Cameroon,18450739,5689589,2228137,185150,0,2413287,Jun 2022,Aug 2022,CH
COD,DR Congo,31540609,47830924,20463608,5415900,0,25879508,Jan 2022,Jun 2022,IPC
CPV,Cabo Verde,299473,138062,43003,3090,0,46093,Jun 2022,Aug 2022,CH
DJI,Djibouti,574741,414767,179778,12390,0,192168,Jul 2022,Dec 2022,IPC
ETH,Ethiopia,6364779,5998032,4558999,2425979,401313,7386291,Jul 2021,Sep 2021,IPC
GHA,Ghana,4504385,794700,262348,16812,0,279160,Jun 2022,Aug 2022,CH
GIN,Guinea,6115433,3831210,1198458,20830,0,1219288,Jun 2022,Aug 2022,CH
GMB,Gambia,1642345,606782,199751,6962,0,206713,Jun 2022,Aug 2022,CH
GNB,Guinea-Bissau,1009990,245587,73092,0,0,73092,Jun 2022,Aug 2022,CH
GTM,Guatemala,6740346,7622722,3111434,127928,0,3239362,Oct 2022,Feb 2023,IPC
HND,Honduras,3233689,3719811,2291044,353195,0,2644239,Jun 2022,Aug 2022,IPC
HTI,Haiti,2758414,2652491,3178226,1317626,0,4495852,Mar 2022,Jun 2022,IPC
KEN,Kenya,5370418,5109606,3142733,1211812,0,4354545,Oct 2022,Dec 2022,IPC
LAC,LAC,181738,185368,126420,21869,0,148289,Jun 2022,Aug 2022,IPC
LBR,Liberia,2264674,1510122,776050,163331,0,939381,Jun 2021,Aug 2021,CH
LSO,Lesotho,654668,511048,319429,0,0,319429,Oct 2022,Mar 2023,IPC
MDG,Madagascar,188735,350155,176500,14362,0,190862,Aug 2022,Oct 2022,IPC
MLI,Mali,15442554,4417117,1680684,156560,0,1837244,Jun 2022,Aug 2022,CH
MOZ,Mozambique,7128616,5947710,1419830,23553,0,1443383,Apr 2022,Sep 2022,IPC
MRT,Mauritania,2044956,1434953,795937,83429,0,879366,Jun 2022,Aug 2022,CH
MWI,Malawi,8815301,6679662,3822502,0,0,3822502,Oct 2022,Mar 2023,IPC
NAM,Namibia,964175,835739,631697,118616,0,750313,Dec 2021,Mar 2022,IPC
NER,Niger,13217392,7313342,3976601,425805,0,4402406,Jun 2022,Aug 2022,CH
NGA,Nigeria,98827486,40785233,18276846,1176459,0,19453305,Jun 2022,Aug 2022,CH
PAK,Pakistan,7447917,6451419,3655630,1030258,0,4685888,Apr 2022,Jun 2022,IPC
SDN,Sudan,22396097,17746553,6189076,1549705,0,7738781,Oct 2022,Feb 2023,IPC
SEN,Senegal,12913552,3943944,872421,8855,0,881276,Jun 2022,Aug 2022,CH
SLE,Sierra Leone,3426662,3573464,1579319,26400,0,1605719,Jun 2022,Aug 2022,CH
SLV,El Salvador,2132030,3286974,845944,60879,0,906823,Mar 2022,May 2022,IPC
SOM,Somalia,6568556,3135400,4200310,2179900,300560,6680770,Oct 2022,Dec 2022,IPC
SSD,South Sudan,1700000,2901000,4765000,2892000,87000,7744000,Apr 2022,Jul 2022,IPC
SWZ,Eswatini,477240,438476,221770,37031,0,258801,Oct 2022,Mar 2023,IPC
TCD,Chad,9674973,4026354,1997572,101289,0,2098861,Jun 2022,Aug 2022,CH
TGO,Togo,4324763,1142851,388238,0,0,388238,Jun 2022,Aug 2022,CH
TZA,Tanzania,1997354,929126,496785,94935,0,591720,May 2022,Sep 2022,IPC
UGA,Uganda,431085,499840,276290,38385,0,314675,Aug 2022,Feb 2023,IPC
YEM,Yemen,5470000,7218500,11712000,7140500,161000,19013500,Jun 2022,Dec 2022,IPC
ZAF,South Africa,29966227,18362327,9598771,2197177,0,11795948,Jan 2021,Mar 2021,IPC
ZMB,Zambia,4937182,6601009,1952123,0,0,1952123,Oct 2022,Mar 2023,IPC
ZWE,Zimbabwe,3221153,3104734,2611638,768594,0,3380232,Jan 2021,Mar 2021,IPC
